epoch,training_accuracy,learnable_threshold,Validation_accuracy,Best_accuracy
99.0,99.7331,12.5354,70.9677,75.1008
100.0,99.8999,12.5527,71.875,75.1008
100.0,99.8999,12.5527,71.875,75.1008
101.0,99.7998,12.5689,71.2702,75.1008
101.0,99.7998,12.5689,71.2702,75.1008
102.0,99.7331,12.5884,70.4637,75.1008
102.0,99.7331,12.5884,70.4637,75.1008
103.0,99.6775,12.6015,70.4637,75.1008
103.0,99.6775,12.6015,70.4637,75.1008
104.0,99.8109,12.6146,70.4637,75.1008
104.0,99.8109,12.6146,70.4637,75.1008
105.0,99.8109,12.6286,71.371,75.1008
105.0,99.8109,12.6286,71.371,75.1008
106.0,99.8221,12.6411,69.8589,75.1008
106.0,99.8221,12.6411,69.8589,75.1008
107.0,99.7109,12.6564,71.6734,75.1008
107.0,99.7109,12.6564,71.6734,75.1008
108.0,99.8332,12.6747,71.2702,75.1008
108.0,99.8332,12.6747,71.2702,75.1008
109.0,99.6886,12.6869,71.5726,75.1008
109.0,99.6886,12.6869,71.5726,75.1008
110.0,99.7998,12.6995,70.3629,75.1008
110.0,99.7998,12.6995,70.3629,75.1008
111.0,99.7665,12.7138,70.5645,75.1008
111.0,99.7665,12.7138,70.5645,75.1008
112.0,99.3327,12.7297,71.2702,75.1008
112.0,99.3327,12.7297,71.2702,75.1008
113.0,99.5663,12.7388,70.7661,75.1008
113.0,99.5663,12.7388,70.7661,75.1008
114.0,99.6552,12.7486,71.371,75.1008
114.0,99.6552,12.7486,71.371,75.1008
115.0,99.7331,12.7606,70.3629,75.1008
115.0,99.7331,12.7606,70.3629,75.1008
116.0,99.8332,12.7691,71.0685,75.1008
116.0,99.8332,12.7691,71.0685,75.1008
117.0,99.7331,12.7773,71.2702,75.1008
117.0,99.7331,12.7773,71.2702,75.1008
118.0,99.7776,12.7886,70.6653,75.1008
118.0,99.7776,12.7886,70.6653,75.1008
119.0,99.722,12.7983,71.4718,75.1008
119.0,99.722,12.7983,71.4718,75.1008
120.0,99.7331,12.8057,70.3629,75.1008
120.0,99.7331,12.8057,70.3629,75.1008
121.0,99.8109,12.8131,71.2702,75.1008
121.0,99.8109,12.8131,71.2702,75.1008
122.0,99.911,12.8198,71.6734,75.1008
122.0,99.911,12.8198,71.6734,75.1008
123.0,99.8777,12.8271,70.6653,75.1008
123.0,99.8777,12.8271,70.6653,75.1008
124.0,99.8888,12.8348,71.5726,75.1008
124.0,99.8888,12.8348,71.5726,75.1008
125.0,99.7998,12.8413,71.0685,75.1008
125.0,99.7998,12.8413,71.0685,75.1008
126.0,99.8999,12.8484,71.371,75.1008
126.0,99.8999,12.8484,71.371,75.1008
127.0,99.8332,12.8573,72.4798,75.1008
127.0,99.8332,12.8573,72.4798,75.1008
128.0,99.911,12.865,71.7742,75.1008
128.0,99.911,12.865,71.7742,75.1008
129.0,99.9222,12.8712,71.2702,75.1008
129.0,99.9222,12.8712,71.2702,75.1008
130.0,99.8999,12.8777,72.4798,75.1008
130.0,99.8999,12.8777,72.4798,75.1008
131.0,99.8109,12.8914,71.4718,75.1008
131.0,99.8109,12.8914,71.4718,75.1008
132.0,99.8999,12.8974,71.2702,75.1008
132.0,99.8999,12.8974,71.2702,75.1008
133.0,99.911,12.9036,71.4718,75.1008
133.0,99.911,12.9036,71.4718,75.1008
134.0,99.8888,12.9121,71.2702,75.1008
134.0,99.8888,12.9121,71.2702,75.1008
135.0,99.8999,12.9193,70.9677,75.1008
135.0,99.8999,12.9193,70.9677,75.1008
136.0,99.7998,12.9351,70.6653,75.1008
136.0,99.7998,12.9351,70.6653,75.1008
137.0,99.7776,12.942,70.4637,75.1008
137.0,99.7776,12.942,70.4637,75.1008
138.0,99.8999,12.9472,70.7661,75.1008
138.0,99.8999,12.9472,70.7661,75.1008
139.0,99.8999,12.9524,71.7742,75.1008
139.0,99.8999,12.9524,71.7742,75.1008
140.0,99.8443,12.9634,69.6573,75.1008
140.0,99.8443,12.9634,69.6573,75.1008
141.0,99.8888,12.9686,71.0685,75.1008
141.0,99.8888,12.9686,71.0685,75.1008
142.0,99.8888,12.9734,71.0685,75.1008
142.0,99.8888,12.9734,71.0685,75.1008
143.0,99.8888,12.9778,71.1694,75.1008
143.0,99.8888,12.9778,71.1694,75.1008
144.0,99.9222,12.9825,70.8669,75.1008
144.0,99.9222,12.9825,70.8669,75.1008
145.0,99.8999,12.9871,71.875,75.1008
145.0,99.8999,12.9871,71.875,75.1008
146.0,99.8443,12.9917,71.5726,75.1008
146.0,99.8443,12.9917,71.5726,75.1008
147.0,99.9222,12.997,71.6734,75.1008
147.0,99.9222,12.997,71.6734,75.1008
148.0,99.8888,13.001,70.1613,75.1008
148.0,99.8888,13.001,70.1613,75.1008
149.0,99.9666,13.0061,71.0685,75.1008
149.0,99.9666,13.0061,71.0685,75.1008
150.0,99.8665,13.0105,70.8669,75.1008
150.0,99.8665,13.0105,70.8669,75.1008
151.0,99.8777,13.0143,71.1694,75.1008
151.0,99.8777,13.0143,71.1694,75.1008
152.0,99.8999,13.0183,71.9758,75.1008
152.0,99.8999,13.0183,71.9758,75.1008
153.0,99.8999,13.0224,70.5645,75.1008
153.0,99.8999,13.0224,70.5645,75.1008
154.0,99.9555,13.0266,71.2702,75.1008
154.0,99.9555,13.0266,71.2702,75.1008
155.0,99.8999,13.0305,71.0685,75.1008
155.0,99.8999,13.0305,71.0685,75.1008
156.0,99.9444,13.0345,72.379,75.1008
156.0,99.9444,13.0345,72.379,75.1008
157.0,99.9222,13.0385,71.0685,75.1008
157.0,99.9222,13.0385,71.0685,75.1008
158.0,99.9555,13.0425,71.371,75.1008
158.0,99.9555,13.0425,71.371,75.1008
159.0,99.9222,13.0465,70.3629,75.1008
159.0,99.9222,13.0465,70.3629,75.1008
160.0,99.911,13.0504,71.7742,75.1008
160.0,99.911,13.0504,71.7742,75.1008
161.0,99.911,13.0545,70.6653,75.1008
161.0,99.911,13.0545,70.6653,75.1008
162.0,99.9222,13.0589,72.1774,75.1008
162.0,99.9222,13.0589,72.1774,75.1008
163.0,99.8777,13.0633,71.9758,75.1008
163.0,99.8777,13.0633,71.9758,75.1008
164.0,99.9555,13.0683,71.2702,75.1008
164.0,99.9555,13.0683,71.2702,75.1008
165.0,99.8999,13.0728,70.6653,75.1008
165.0,99.8999,13.0728,70.6653,75.1008
166.0,99.9666,13.0768,71.0685,75.1008
166.0,99.9666,13.0768,71.0685,75.1008
167.0,99.9889,13.0819,71.371,75.1008
167.0,99.9889,13.0819,71.371,75.1008
168.0,99.9555,13.0892,70.2621,75.1008
168.0,99.9555,13.0892,70.2621,75.1008
169.0,99.9444,13.0926,70.7661,75.1008
169.0,99.9444,13.0926,70.7661,75.1008
170.0,99.9666,13.0955,71.2702,75.1008
170.0,99.9666,13.0955,71.2702,75.1008
171.0,99.9666,13.0987,71.371,75.1008
171.0,99.9666,13.0987,71.371,75.1008
172.0,99.9778,13.1021,71.5726,75.1008
172.0,99.9778,13.1021,71.5726,75.1008
173.0,99.9222,13.1056,71.2702,75.1008
173.0,99.9222,13.1056,71.2702,75.1008
174.0,100.0,13.109,71.4718,75.1008
174.0,100.0,13.109,71.4718,75.1008
175.0,99.8888,13.1133,69.7581,75.1008
175.0,99.8888,13.1133,69.7581,75.1008
176.0,99.9555,13.1188,71.0685,75.1008
176.0,99.9555,13.1188,71.0685,75.1008
177.0,99.9555,13.1229,70.0605,75.1008
177.0,99.9555,13.1229,70.0605,75.1008
178.0,99.9222,13.1271,70.4637,75.1008
178.0,99.9222,13.1271,70.4637,75.1008
179.0,99.9666,13.1319,70.5645,75.1008
179.0,99.9666,13.1319,70.5645,75.1008
180.0,99.9778,13.1427,70.3629,75.1008
180.0,99.9778,13.1427,70.3629,75.1008
181.0,99.8999,13.1489,71.0685,75.1008
181.0,99.8999,13.1489,71.0685,75.1008
182.0,99.8888,13.1527,69.9597,75.1008
182.0,99.8888,13.1527,69.9597,75.1008
183.0,99.9444,13.1573,69.8589,75.1008
183.0,99.9444,13.1573,69.8589,75.1008
184.0,99.8999,13.1607,69.7581,75.1008
184.0,99.8999,13.1607,69.7581,75.1008
185.0,99.911,13.1643,69.6573,75.1008
185.0,99.911,13.1643,69.6573,75.1008
186.0,100.0,13.1678,70.8669,75.1008
186.0,100.0,13.1678,70.8669,75.1008
187.0,99.9778,13.1731,71.2702,75.1008
187.0,99.9778,13.1731,71.2702,75.1008
188.0,99.9778,13.1779,70.0605,75.1008
188.0,99.9778,13.1779,70.0605,75.1008
189.0,99.9666,13.1817,70.8669,75.1008
189.0,99.9666,13.1817,70.8669,75.1008
190.0,99.9778,13.1845,71.0685,75.1008
190.0,99.9778,13.1845,71.0685,75.1008
191.0,99.9666,13.1882,69.8589,75.1008
191.0,99.9666,13.1882,69.8589,75.1008
192.0,99.9555,13.1916,70.7661,75.1008
192.0,99.9555,13.1916,70.7661,75.1008
193.0,99.9555,13.1956,70.8669,75.1008
193.0,99.9555,13.1956,70.8669,75.1008
194.0,99.9666,13.1995,71.9758,75.1008
194.0,99.9666,13.1995,71.9758,75.1008
195.0,99.9666,13.2033,70.3629,75.1008
195.0,99.9666,13.2033,70.3629,75.1008
196.0,99.9666,13.2066,70.8669,75.1008
